Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BA9VPC_1xPP3,1,Battery_Cell,
"C1, C2",0805,2,27pF,
"C3, C4, C5",0805,3,0.1uF,
C7,0805,1,1uF,
D1,0805,1,LED,
DS1,WC1602A,1,WC1602A,
J1,PinSocket_1x04_P2.54mm_Horizontal,1,Conn_01x04_Socket,
J2,IDC-Header_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
"J3, J4",TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,2,Screw_Terminal,
J6,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,1,Screw_Terminal_01x04,
J7,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
J8,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
L1,0805,1,10uH,
R1,0805,1,100k,
R2,0805,1,1k,
R3,0805,1,330,
R5,0805,1,3k,
R8,0805,1,10K,
SW1,SW_SPST_Omron_B3FS-101xP,1,SW_Omron_B3FS,
TP1,Pin_D1.0mm_L10.0mm,1,5V Test,
TP3,Pin_D1.0mm_L10.0mm,1,TestPoint,
U1,SOT-223-3_TabPin2,1,LM317_TO-252,
U2,DIP-28_W7.62mm,1,ATmega328P-P,
Y1,Crystal_SMD_HC49-SD,1,Crystal 16Mhz,
