Designator,Mid X,Mid Y,Rotation,Layer
BT1,124.0,-111.43,270.0,top
C1,152.4625,-120.0,0.0,top
C2,152.5,-132.0,0.0,top
C3,163.0,-110.5,180.0,top
C4,179.0,-112.5,0.0,top
C5,164.0,-86.0,270.0,top
C7,180.0,-82.5,0.0,top
D1,189.5,-137.4,180.0,top
DS1,149.5009,-59.6432,180.0,top
J1,191.0,-66.0,0.0,top
J2,192.7875,-120.535,180.0,top
J3,167.23,-136.0,0.0,top
J4,145.5,-135.6,180.0,top
J6,195.35,-84.73,270.0,top
J7,197.025,-100.615,180.0,top
J8,154.375,-106.615,0.0,top
L1,179.0,-115.5,0.0,top
R1,149.5,-90.5,270.0,top
R2,162.5,-83.0,0.0,top
R3,189.5,-134.0,180.0,top
R5,162.5,-80.0,180.0,top
R8,163.0,-113.0,0.0,top
SW1,146.5,-97.5,180.0,top
TP1,176.5,-88.0,0.0,top
TP3,153.0,-136.0,0.0,top
U1,172.415,-82.525,180.0,top
U2,170.78,-111.76,0.0,top
Y1,158.0,-126.0,90.0,top
